p,p_mod40,S_p,sgn
15359,39,-1,-1
15391,31,1,1
15439,39,-1,-1
15551,31,1,1
15619,19,-1,-1
15671,31,1,1
15679,39,-1,-1
15731,11,1,1
15739,19,-1,-1
15859,19,-1,-1
15959,39,-1,-1
15971,11,1,1
15991,31,1,1
16111,31,1,1
16139,19,-1,-1
16231,31,1,1
16319,39,-1,-1
16451,11,1,1
16619,19,-1,-1
16631,31,1,1
16651,11,1,1
16691,11,1,1
16699,19,-1,-1
16759,39,-1,-1
16811,11,1,1
16879,39,-1,-1
16979,19,-1,-1
17099,19,-1,-1
17159,39,-1,-1
17191,31,1,1
17239,39,-1,-1
17419,19,-1,-1
17471,31,1,1
17519,39,-1,-1
17539,19,-1,-1
17551,31,1,1
17579,19,-1,-1
17791,31,1,1
17839,39,-1,-1
17891,11,1,1
17911,31,1,1
17939,19,-1,-1
17959,39,-1,-1
17971,11,1,1
18059,19,-1,-1
18119,39,-1,-1
18131,11,1,1
18191,31,1,1
18199,39,-1,-1
18251,11,1,1
18311,31,1,1
18371,11,1,1
18379,19,-1,-1
18439,39,-1,-1
18539,19,-1,-1
18671,31,1,1
18691,11,1,1
18719,39,-1,-1
18731,11,1,1
18839,39,-1,-1
18859,19,-1,-1
18899,19,-1,-1
18911,31,1,1
18919,39,-1,-1
18959,39,-1,-1
18979,19,-1,-1
19031,31,1,1
19051,11,1,1
19079,39,-1,-1
19139,19,-1,-1
19211,11,1,1
19219,19,-1,-1
19231,31,1,1
19259,19,-1,-1
19319,39,-1,-1
19379,19,-1,-1
19391,31,1,1
19531,11,1,1
19571,11,1,1
19739,19,-1,-1
19751,31,1,1
19819,19,-1,-1
19919,39,-1,-1
19979,19,-1,-1
19991,31,1,1
20011,11,1,1
20051,11,1,1
20219,19,-1,-1
20231,31,1,1
20359,39,-1,-1
20411,11,1,1
20479,39,-1,-1
20551,31,1,1
20599,39,-1,-1
20611,11,1,1
20639,39,-1,-1
20719,39,-1,-1
20731,11,1,1
20759,39,-1,-1
20771,11,1,1
20879,39,-1,-1
20899,19,-1,-1
20939,19,-1,-1
21011,11,1,1
21019,19,-1,-1
21059,19,-1,-1
21139,19,-1,-1
21179,19,-1,-1
21319,39,-1,-1
21391,31,1,1
21419,19,-1,-1
21491,11,1,1
21559,39,-1,-1
21599,39,-1,-1
21611,11,1,1
21739,19,-1,-1
21799,39,-1,-1
21839,39,-1,-1
21851,11,1,1
21859,19,-1,-1
21911,31,1,1
22051,11,1,1
22079,39,-1,-1
22159,39,-1,-1
22259,19,-1,-1
22271,31,1,1
22279,39,-1,-1
22391,31,1,1
22511,31,1,1
22571,11,1,1
22619,19,-1,-1
22639,39,-1,-1
22651,11,1,1
22679,39,-1,-1
22691,11,1,1
22699,19,-1,-1
22739,19,-1,-1
22751,31,1,1
22811,11,1,1
22859,19,-1,-1
22871,31,1,1
23039,39,-1,-1
23099,19,-1,-1
23131,11,1,1
23159,39,-1,-1
23251,11,1,1
23279,39,-1,-1
23291,11,1,1
23339,19,-1,-1
23399,39,-1,-1
23431,31,1,1
23459,19,-1,-1
23531,11,1,1
23719,39,-1,-1
23819,19,-1,-1
23831,31,1,1
23879,39,-1,-1
23899,19,-1,-1
24019,19,-1,-1
24071,31,1,1
24091,11,1,1
24151,31,1,1
24239,39,-1,-1
24251,11,1,1
24359,39,-1,-1
24371,11,1,1
24379,19,-1,-1
24419,19,-1,-1
24439,39,-1,-1
24499,19,-1,-1
24551,31,1,1
24611,11,1,1
24659,19,-1,-1
24671,31,1,1
24851,11,1,1
24919,39,-1,-1
24971,11,1,1
24979,19,-1,-1
25219,19,-1,-1
25339,19,-1,-1
25391,31,1,1
25411,11,1,1
25439,39,-1,-1
25579,19,-1,-1
25639,39,-1,-1
25679,39,-1,-1
25759,39,-1,-1
25771,11,1,1
25799,39,-1,-1
25919,39,-1,-1
25999,39,-1,-1
26099,19,-1,-1
26119,39,-1,-1
26171,11,1,1
26251,11,1,1
26339,19,-1,-1
26371,11,1,1
26399,39,-1,-1
26431,31,1,1
26459,19,-1,-1
26539,19,-1,-1
26591,31,1,1
26699,19,-1,-1
26711,31,1,1
26759,39,-1,-1
26839,39,-1,-1
26879,39,-1,-1
26891,11,1,1
26951,31,1,1
26959,39,-1,-1
27011,11,1,1
27059,19,-1,-1
27179,19,-1,-1
27239,39,-1,-1
27259,19,-1,-1
27299,19,-1,-1
27431,31,1,1
27479,39,-1,-1
27539,19,-1,-1
27739,19,-1,-1
27751,31,1,1
27791,31,1,1
27799,39,-1,-1
27851,11,1,1
27919,39,-1,-1
28019,19,-1,-1
28031,31,1,1
28051,11,1,1
28099,19,-1,-1
28211,11,1,1
28219,19,-1,-1
28279,39,-1,-1
28319,39,-1,-1
28351,31,1,1
28411,11,1,1
28439,39,-1,-1
28499,19,-1,-1
28559,39,-1,-1
28571,11,1,1
28579,19,-1,-1
28619,19,-1,-1
28631,31,1,1
28751,31,1,1
28759,39,-1,-1
28859,19,-1,-1
28871,31,1,1
28979,19,-1,-1
29059,19,-1,-1
29179,19,-1,-1
29231,31,1,1
29311,31,1,1
29339,19,-1,-1
29399,39,-1,-1
29411,11,1,1
29531,11,1,1
29599,39,-1,-1
29611,11,1,1
29671,31,1,1
29759,39,-1,-1
29819,19,-1,-1
29879,39,-1,-1
29959,39,-1,-1
30011,11,1,1
30059,19,-1,-1
30071,31,1,1
30091,11,1,1
30119,39,-1,-1
30139,19,-1,-1
30319,39,-1,-1
30431,31,1,1
30491,11,1,1
30539,19,-1,-1
30839,39,-1,-1
30871,31,1,1
31019,19,-1,-1
31079,39,-1,-1
31139,19,-1,-1
31259,19,-1,-1
31271,31,1,1
31319,39,-1,-1
31379,19,-1,-1
31699,19,-1,-1
31751,31,1,1
31771,11,1,1
31799,39,-1,-1
31859,19,-1,-1
31891,11,1,1
31991,31,1,1
32059,19,-1,-1
32099,19,-1,-1
32119,39,-1,-1
32159,39,-1,-1
32299,19,-1,-1
32359,39,-1,-1
32371,11,1,1
32479,39,-1,-1
32531,11,1,1
32579,19,-1,-1
32611,11,1,1
32771,11,1,1
32779,19,-1,-1
32831,31,1,1
32911,31,1,1
32939,19,-1,-1
32971,11,1,1
32999,39,-1,-1
33071,31,1,1
33091,11,1,1
33119,39,-1,-1
33151,31,1,1
33179,19,-1,-1
33191,31,1,1
33199,39,-1,-1
33311,31,1,1
33331,11,1,1
33359,39,-1,-1
33391,31,1,1
33479,39,-1,-1
33599,39,-1,-1
33619,19,-1,-1
33679,39,-1,-1
33791,31,1,1
33851,11,1,1
33871,31,1,1
34019,19,-1,-1
34031,31,1,1
34159,39,-1,-1
34231,31,1,1
34259,19,-1,-1
34319,39,-1,-1
34439,39,-1,-1
34499,19,-1,-1
34519,39,-1,-1
34591,31,1,1
34631,31,1,1
34739,19,-1,-1
34759,39,-1,-1
34819,19,-1,-1
34871,31,1,1
34939,19,-1,-1
35051,11,1,1
35111,31,1,1
35159,39,-1,-1
35171,11,1,1
35279,39,-1,-1
35291,11,1,1
35311,31,1,1
35339,19,-1,-1
35419,19,-1,-1
35491,11,1,1
35531,11,1,1
35591,31,1,1
35671,31,1,1
35759,39,-1,-1
35771,11,1,1
35831,31,1,1
35839,39,-1,-1
35879,39,-1,-1
35951,31,1,1
35999,39,-1,-1
36191,31,1,1
36251,11,1,1
36299,19,-1,-1
36319,39,-1,-1
36551,31,1,1
36571,11,1,1
36599,39,-1,-1
36671,31,1,1
36779,19,-1,-1
36791,31,1,1
36871,31,1,1
36899,19,-1,-1
36919,39,-1,-1
36931,11,1,1
36979,19,-1,-1
37019,19,-1,-1
37039,39,-1,-1
37139,19,-1,-1
37159,39,-1,-1
37171,11,1,1
37199,39,-1,-1
37339,19,-1,-1
37379,19,-1,-1
37511,31,1,1
37579,19,-1,-1
37619,19,-1,-1
37691,11,1,1
37799,39,-1,-1
37811,11,1,1
37879,39,-1,-1
37951,31,1,1
37991,31,1,1
38011,11,1,1
38219,19,-1,-1
38231,31,1,1
38351,31,1,1
38371,11,1,1
38431,31,1,1
38459,19,-1,-1
38639,39,-1,-1
38651,11,1,1
38699,19,-1,-1
38711,31,1,1
38791,31,1,1
38891,11,1,1
38959,39,-1,-1
38971,11,1,1
39119,39,-1,-1
39139,19,-1,-1
39191,31,1,1
39239,39,-1,-1
39251,11,1,1
39359,39,-1,-1
39371,11,1,1
39419,19,-1,-1
39451,11,1,1
39511,31,1,1
39619,19,-1,-1
39659,19,-1,-1
39671,31,1,1
39679,39,-1,-1
39719,39,-1,-1
39779,19,-1,-1
39791,31,1,1
39839,39,-1,-1
40031,31,1,1
40099,19,-1,-1
40231,31,1,1
40351,31,1,1
