p,p_mod40,S_p,sgn
234539,19,-1,-1
234571,11,1,1
234599,39,-1,-1
234659,19,-1,-1
234791,31,1,1
234799,39,-1,-1
234811,11,1,1
234931,11,1,1
234959,39,-1,-1
234979,19,-1,-1
235051,11,1,1
235091,11,1,1
235111,31,1,1
235171,11,1,1
235199,39,-1,-1
235211,11,1,1
235231,31,1,1
235439,39,-1,-1
235519,39,-1,-1
235559,39,-1,-1
235591,31,1,1
235679,39,-1,-1
235811,11,1,1
235871,31,1,1
235919,39,-1,-1
235979,19,-1,-1
236219,19,-1,-1
236231,31,1,1
236339,19,-1,-1
236399,39,-1,-1
236471,31,1,1
236479,39,-1,-1
236519,39,-1,-1
236659,19,-1,-1
236771,11,1,1
236779,19,-1,-1
236879,39,-1,-1
236891,11,1,1
237011,11,1,1
237071,31,1,1
237151,31,1,1
237179,19,-1,-1
237271,31,1,1
237331,11,1,1
237379,19,-1,-1
237571,11,1,1
237791,31,1,1
237851,11,1,1
237859,19,-1,-1
237959,39,-1,-1
237971,11,1,1
238019,19,-1,-1
238031,31,1,1
238079,39,-1,-1
238099,19,-1,-1
238151,31,1,1
238159,39,-1,-1
238331,11,1,1
238339,19,-1,-1
238439,39,-1,-1
238451,11,1,1
238471,31,1,1
238499,19,-1,-1
238519,39,-1,-1
238531,11,1,1
238591,31,1,1
238691,11,1,1
238759,39,-1,-1
238859,19,-1,-1
238879,39,-1,-1
238919,39,-1,-1
238991,31,1,1
239171,11,1,1
239179,19,-1,-1
239251,11,1,1
239531,11,1,1
239539,19,-1,-1
239579,19,-1,-1
239671,31,1,1
239699,19,-1,-1
239711,31,1,1
239779,19,-1,-1
239831,31,1,1
239851,11,1,1
239879,39,-1,-1
239999,39,-1,-1
240011,11,1,1
240059,19,-1,-1
240151,31,1,1
240259,19,-1,-1
240319,39,-1,-1
240379,19,-1,-1
240479,39,-1,-1
240491,11,1,1
240551,31,1,1
240571,11,1,1
240599,39,-1,-1
240631,31,1,1
240719,39,-1,-1
240739,19,-1,-1
240899,19,-1,-1
240959,39,-1,-1
241079,39,-1,-1
241259,19,-1,-1
241391,31,1,1
241511,31,1,1
241559,39,-1,-1
241639,39,-1,-1
241651,11,1,1
241739,19,-1,-1
241771,11,1,1
241811,11,1,1
241919,39,-1,-1
241931,11,1,1
241939,19,-1,-1
241951,31,1,1
241979,19,-1,-1
242059,19,-1,-1
242119,39,-1,-1
242171,11,1,1
242279,39,-1,-1
242371,11,1,1
242399,39,-1,-1
242419,19,-1,-1
242479,39,-1,-1
242519,39,-1,-1
242551,31,1,1
242591,31,1,1
242639,39,-1,-1
242731,11,1,1
242819,19,-1,-1
242999,39,-1,-1
243011,11,1,1
243031,31,1,1
243091,11,1,1
243119,39,-1,-1
243239,39,-1,-1
243311,31,1,1
243391,31,1,1
243431,31,1,1
243479,39,-1,-1
243539,19,-1,-1
243631,31,1,1
243671,31,1,1
243799,39,-1,-1
243839,39,-1,-1
243911,31,1,1
243931,11,1,1
244091,11,1,1
244159,39,-1,-1
244199,39,-1,-1
244219,19,-1,-1
244291,11,1,1
244379,19,-1,-1
244399,39,-1,-1
244451,11,1,1
244619,19,-1,-1
244639,39,-1,-1
244691,11,1,1
244711,31,1,1
244859,19,-1,-1
244939,19,-1,-1
245039,39,-1,-1
245071,31,1,1
245171,11,1,1
245279,39,-1,-1
245291,11,1,1
245299,19,-1,-1
245339,19,-1,-1
245411,11,1,1
245419,19,-1,-1
245519,39,-1,-1
245591,31,1,1
245639,39,-1,-1
245711,31,1,1
245719,39,-1,-1
245759,39,-1,-1
245771,11,1,1
245851,11,1,1
245899,19,-1,-1
245911,31,1,1
246011,11,1,1
246119,39,-1,-1
246251,11,1,1
246271,31,1,1
246371,11,1,1
246439,39,-1,-1
246511,31,1,1
246539,19,-1,-1
246599,39,-1,-1
246611,11,1,1
246731,11,1,1
246739,19,-1,-1
246839,39,-1,-1
246899,19,-1,-1
246919,39,-1,-1
246931,11,1,1
246971,11,1,1
246979,19,-1,-1
247259,19,-1,-1
247279,39,-1,-1
247339,19,-1,-1
247391,31,1,1
247439,39,-1,-1
247519,39,-1,-1
247579,19,-1,-1
247691,11,1,1
247739,19,-1,-1
247759,39,-1,-1
247799,39,-1,-1
247811,11,1,1
247879,39,-1,-1
247939,19,-1,-1
247999,39,-1,-1
248099,19,-1,-1
248119,39,-1,-1
248179,19,-1,-1
248231,31,1,1
248291,11,1,1
248299,19,-1,-1
248371,11,1,1
248579,19,-1,-1
248639,39,-1,-1
248719,39,-1,-1
248851,11,1,1
248879,39,-1,-1
248891,11,1,1
248971,11,1,1
249059,19,-1,-1
249131,11,1,1
249199,39,-1,-1
249311,31,1,1
249419,19,-1,-1
249539,19,-1,-1
249659,19,-1,-1
249671,31,1,1
249779,19,-1,-1
249859,19,-1,-1
250031,31,1,1
250051,11,1,1
250091,11,1,1
250199,39,-1,-1
250259,19,-1,-1
250451,11,1,1
250499,19,-1,-1
250619,19,-1,-1
250739,19,-1,-1
250751,31,1,1
250799,39,-1,-1
250871,31,1,1
250919,39,-1,-1
251071,31,1,1
251099,19,-1,-1
251159,39,-1,-1
251171,11,1,1
251179,19,-1,-1
251219,19,-1,-1
251231,31,1,1
251359,39,-1,-1
251491,11,1,1
251519,39,-1,-1
251539,19,-1,-1
251611,11,1,1
251639,39,-1,-1
251791,31,1,1
251831,31,1,1
251939,19,-1,-1
252151,31,1,1
252391,31,1,1
252419,19,-1,-1
252431,31,1,1
252559,39,-1,-1
252611,11,1,1
252779,19,-1,-1
252899,19,-1,-1
252911,31,1,1
252919,39,-1,-1
252971,11,1,1
253439,39,-1,-1
253531,11,1,1
253679,39,-1,-1
253751,31,1,1
253811,11,1,1
253819,19,-1,-1
253871,31,1,1
253879,39,-1,-1
253919,39,-1,-1
253951,31,1,1
253999,39,-1,-1
254039,39,-1,-1
254071,31,1,1
254279,39,-1,-1
254299,19,-1,-1
254519,39,-1,-1
254659,19,-1,-1
254699,19,-1,-1
254879,39,-1,-1
254959,39,-1,-1
255019,19,-1,-1
255179,19,-1,-1
255191,31,1,1
255239,39,-1,-1
255251,11,1,1
255259,19,-1,-1
255371,11,1,1
255419,19,-1,-1
255499,19,-1,-1
255551,31,1,1
255659,19,-1,-1
255679,39,-1,-1
255851,11,1,1
255859,19,-1,-1
255919,39,-1,-1
255971,11,1,1
256019,19,-1,-1
256031,31,1,1
256079,39,-1,-1
256199,39,-1,-1
256211,11,1,1
256219,19,-1,-1
256279,39,-1,-1
256391,31,1,1
256499,19,-1,-1
256651,11,1,1
256699,19,-1,-1
256771,11,1,1
256799,39,-1,-1
256831,31,1,1
256939,19,-1,-1
257099,19,-1,-1
257171,11,1,1
257219,19,-1,-1
257339,19,-1,-1
257351,31,1,1
257371,11,1,1
257399,39,-1,-1
257459,19,-1,-1
257519,39,-1,-1
257539,19,-1,-1
257591,31,1,1
257611,11,1,1
257639,39,-1,-1
257671,31,1,1
257879,39,-1,-1
258019,19,-1,-1
258031,31,1,1
258131,11,1,1
258211,11,1,1
258299,19,-1,-1
258319,39,-1,-1
258539,19,-1,-1
258551,31,1,1
258611,11,1,1
258659,19,-1,-1
258871,31,1,1
258919,39,-1,-1
258959,39,-1,-1
258991,31,1,1
259019,19,-1,-1
259151,31,1,1
259211,11,1,1
259271,31,1,1
259339,19,-1,-1
259451,11,1,1
259499,19,-1,-1
259531,11,1,1
259619,19,-1,-1
259639,39,-1,-1
259691,11,1,1
259751,31,1,1
259991,31,1,1
260011,11,1,1
260171,11,1,1
260179,19,-1,-1
260191,31,1,1
260339,19,-1,-1
260399,39,-1,-1
260411,11,1,1
260419,19,-1,-1
260539,19,-1,-1
260551,31,1,1
260651,11,1,1
260671,31,1,1
260879,39,-1,-1
260999,39,-1,-1
261059,19,-1,-1
261071,31,1,1
261251,11,1,1
261271,31,1,1
261379,19,-1,-1
261431,31,1,1
261451,11,1,1
261739,19,-1,-1
261791,31,1,1
261959,39,-1,-1
261971,11,1,1
262051,11,1,1
262079,39,-1,-1
262111,31,1,1
262139,19,-1,-1
262151,31,1,1
262271,31,1,1
262331,11,1,1
262391,31,1,1
262399,39,-1,-1
262411,11,1,1
262519,39,-1,-1
262739,19,-1,-1
262819,19,-1,-1
263111,31,1,1
263119,39,-1,-1
263171,11,1,1
263191,31,1,1
263239,39,-1,-1
263399,39,-1,-1
263411,11,1,1
263491,11,1,1
263519,39,-1,-1
263611,11,1,1
263651,11,1,1
263759,39,-1,-1
263819,19,-1,-1
263951,31,1,1
264059,19,-1,-1
264071,31,1,1
264091,11,1,1
264139,19,-1,-1
264179,19,-1,-1
264359,39,-1,-1
264391,31,1,1
264599,39,-1,-1
264619,19,-1,-1
264659,19,-1,-1
264739,19,-1,-1
264779,19,-1,-1
264791,31,1,1
264811,11,1,1
264839,39,-1,-1
264899,19,-1,-1
264919,39,-1,-1
264931,11,1,1
264959,39,-1,-1
265091,11,1,1
265151,31,1,1
265339,19,-1,-1
265399,39,-1,-1
265451,11,1,1
265459,19,-1,-1
265511,31,1,1
265571,11,1,1
265579,19,-1,-1
265619,19,-1,-1
265711,31,1,1
265819,19,-1,-1
265831,31,1,1
265871,31,1,1
266051,11,1,1
266059,19,-1,-1
266099,19,-1,-1
266111,31,1,1
266159,39,-1,-1
266239,39,-1,-1
266291,11,1,1
266359,39,-1,-1
266479,39,-1,-1
266599,39,-1,-1
266671,31,1,1
266711,31,1,1
266719,39,-1,-1
266759,39,-1,-1
266891,11,1,1
266899,19,-1,-1
266999,39,-1,-1
267131,11,1,1
267139,19,-1,-1
267259,19,-1,-1
267299,19,-1,-1
267391,31,1,1
267419,19,-1,-1
267439,39,-1,-1
267451,11,1,1
267479,39,-1,-1
267511,31,1,1
267551,31,1,1
267611,11,1,1
267679,39,-1,-1
267719,39,-1,-1
267811,11,1,1
267899,19,-1,-1
267959,39,-1,-1
268091,11,1,1
268171,11,1,1
268199,39,-1,-1
268211,11,1,1
268291,11,1,1
268439,39,-1,-1
268531,11,1,1
268811,11,1,1
268819,19,-1,-1
268979,19,-1,-1
269039,39,-1,-1
269131,11,1,1
269219,19,-1,-1
269231,31,1,1
269251,11,1,1
269351,31,1,1
269419,19,-1,-1
269431,31,1,1
269519,39,-1,-1
269579,19,-1,-1
269719,39,-1,-1
269891,11,1,1
269939,19,-1,-1
270031,31,1,1
270059,19,-1,-1
270071,31,1,1
270131,11,1,1
270239,39,-1,-1
270311,31,1,1
270379,19,-1,-1
270451,11,1,1
270539,19,-1,-1
270551,31,1,1
270619,19,-1,-1
270631,31,1,1
270659,19,-1,-1
270679,39,-1,-1
270719,39,-1,-1
270791,31,1,1
270799,39,-1,-1
270859,19,-1,-1
270899,19,-1,-1
271079,39,-1,-1
271211,11,1,1
271451,11,1,1
271571,11,1,1
271619,19,-1,-1
271639,39,-1,-1
271771,11,1,1
271811,11,1,1
271919,39,-1,-1
272039,39,-1,-1
272059,19,-1,-1
272171,11,1,1
272179,19,-1,-1
272191,31,1,1
272231,31,1,1
272299,19,-1,-1
272359,39,-1,-1
272399,39,-1,-1
272411,11,1,1
272539,19,-1,-1
272651,11,1,1
272659,19,-1,-1
272759,39,-1,-1
272771,11,1,1
272879,39,-1,-1
272911,31,1,1
272971,11,1,1
272999,39,-1,-1
273059,19,-1,-1
273131,11,1,1
273311,31,1,1
273359,39,-1,-1
273551,31,1,1
273719,39,-1,-1
273739,19,-1,-1
273899,19,-1,-1
273919,39,-1,-1
273971,11,1,1
274019,19,-1,-1
274139,19,-1,-1
274171,11,1,1
274199,39,-1,-1
274259,19,-1,-1
274271,31,1,1
274451,11,1,1
274591,31,1,1
274679,39,-1,-1
274739,19,-1,-1
274751,31,1,1
274811,11,1,1
274871,31,1,1
274951,31,1,1
275039,39,-1,-1
275059,19,-1,-1
275159,39,-1,-1
275299,19,-1,-1
275371,11,1,1
275399,39,-1,-1
275419,19,-1,-1
275459,19,-1,-1
275531,11,1,1
275579,19,-1,-1
275651,11,1,1
275699,19,-1,-1
275711,31,1,1
275911,31,1,1
275939,19,-1,-1
275999,39,-1,-1
276011,11,1,1
276151,31,1,1
276191,31,1,1
276239,39,-1,-1
276319,39,-1,-1
276359,39,-1,-1
276371,11,1,1
276439,39,-1,-1
276599,39,-1,-1
276671,31,1,1
276779,19,-1,-1
276839,39,-1,-1
276919,39,-1,-1
277051,11,1,1
277099,19,-1,-1
277259,19,-1,-1
277279,39,-1,-1
277331,11,1,1
277499,19,-1,-1
277579,19,-1,-1
277639,39,-1,-1
277751,31,1,1
277859,19,-1,-1
277919,39,-1,-1
278071,31,1,1
278111,31,1,1
278119,39,-1,-1
278219,19,-1,-1
278279,39,-1,-1
278459,19,-1,-1
278491,11,1,1
278591,31,1,1
278611,11,1,1
278639,39,-1,-1
278651,11,1,1
278671,31,1,1
278819,19,-1,-1
278879,39,-1,-1
278891,11,1,1
279119,39,-1,-1
279131,11,1,1
279179,19,-1,-1
279211,11,1,1
279431,31,1,1
279451,11,1,1
279479,39,-1,-1
279571,11,1,1
279659,19,-1,-1
279731,11,1,1
279751,31,1,1
279919,39,-1,-1
279991,31,1,1
280031,31,1,1
280139,19,-1,-1
280199,39,-1,-1
280219,19,-1,-1
280339,19,-1,-1
280351,31,1,1
280451,11,1,1
280499,19,-1,-1
280639,39,-1,-1
280699,19,-1,-1
280711,31,1,1
280751,31,1,1
280811,11,1,1
280859,19,-1,-1
280939,19,-1,-1
280979,19,-1,-1
281131,11,1,1
281159,39,-1,-1
281279,39,-1,-1
281291,11,1,1
281339,19,-1,-1
281419,19,-1,-1
281431,31,1,1
281531,11,1,1
281539,19,-1,-1
281579,19,-1,-1
281651,11,1,1
281719,39,-1,-1
281791,31,1,1
281959,39,-1,-1
281971,11,1,1
282019,19,-1,-1
282059,19,-1,-1
282071,31,1,1
282091,11,1,1
282239,39,-1,-1
282299,19,-1,-1
282311,31,1,1
282391,31,1,1
282559,39,-1,-1
282571,11,1,1
282599,39,-1,-1
282671,31,1,1
282679,39,-1,-1
282851,11,1,1
282959,39,-1,-1
283079,39,-1,-1
283099,19,-1,-1
283111,31,1,1
283139,19,-1,-1
283211,11,1,1
283519,39,-1,-1
283639,39,-1,-1
283771,11,1,1
283799,39,-1,-1
283831,31,1,1
283859,19,-1,-1
283979,19,-1,-1
284051,11,1,1
284059,19,-1,-1
284159,39,-1,-1
284311,31,1,1
284539,19,-1,-1
284551,31,1,1
284651,11,1,1
284731,11,1,1
284759,39,-1,-1
284819,19,-1,-1
284839,39,-1,-1
284899,19,-1,-1
285119,39,-1,-1
285139,19,-1,-1
285151,31,1,1
285179,19,-1,-1
285199,39,-1,-1
285251,11,1,1
285451,11,1,1
285539,19,-1,-1
285599,39,-1,-1
285611,11,1,1
285631,31,1,1
285731,11,1,1
285839,39,-1,-1
285979,19,-1,-1
286019,19,-1,-1
286171,11,1,1
286199,39,-1,-1
286459,19,-1,-1
286499,19,-1,-1
286519,39,-1,-1
286619,19,-1,-1
286651,11,1,1
286751,31,1,1
286859,19,-1,-1
286999,39,-1,-1
287059,19,-1,-1
287099,19,-1,-1
287159,39,-1,-1
287179,19,-1,-1
287191,31,1,1
287219,19,-1,-1
287239,39,-1,-1
287279,39,-1,-1
287491,11,1,1
287579,19,-1,-1
287671,31,1,1
287731,11,1,1
287851,11,1,1
287939,19,-1,-1
288179,19,-1,-1
288199,39,-1,-1
288359,39,-1,-1
288539,19,-1,-1
288551,31,1,1
288559,39,-1,-1
288731,11,1,1
288839,39,-1,-1
288851,11,1,1
288979,19,-1,-1
288991,31,1,1
289019,19,-1,-1
289039,39,-1,-1
289099,19,-1,-1
289111,31,1,1
289139,19,-1,-1
289151,31,1,1
289291,11,1,1
289319,39,-1,-1
289439,39,-1,-1
289511,31,1,1
289559,39,-1,-1
289771,11,1,1
289859,19,-1,-1
289871,31,1,1
289999,39,-1,-1
290011,11,1,1
290039,39,-1,-1
290119,39,-1,-1
290219,19,-1,-1
290351,31,1,1
290359,39,-1,-1
290399,39,-1,-1
290471,31,1,1
290531,11,1,1
290539,19,-1,-1
290611,11,1,1
290711,31,1,1
290839,39,-1,-1
290959,39,-1,-1
290971,11,1,1
290999,39,-1,-1
291199,39,-1,-1
291271,31,1,1
291299,19,-1,-1
291359,39,-1,-1
291371,11,1,1
291419,19,-1,-1
291439,39,-1,-1
291491,11,1,1
291539,19,-1,-1
291559,39,-1,-1
291691,11,1,1
291751,31,1,1
291779,19,-1,-1
291899,19,-1,-1
291971,11,1,1
291979,19,-1,-1
292079,39,-1,-1
292091,11,1,1
292231,31,1,1
292319,39,-1,-1
292459,19,-1,-1
292531,11,1,1
292631,31,1,1
292679,39,-1,-1
292711,31,1,1
292759,39,-1,-1
293071,31,1,1
293099,19,-1,-1
293179,19,-1,-1
293339,19,-1,-1
293351,31,1,1
293431,31,1,1
293459,19,-1,-1
293599,39,-1,-1
293639,39,-1,-1
293659,19,-1,-1
293831,31,1,1
293999,39,-1,-1
294059,19,-1,-1
294179,19,-1,-1
294211,11,1,1
294251,11,1,1
294319,39,-1,-1
294391,31,1,1
294439,39,-1,-1
294479,39,-1,-1
294499,19,-1,-1
294551,31,1,1
294659,19,-1,-1
294731,11,1,1
294799,39,-1,-1
294859,19,-1,-1
294919,39,-1,-1
294991,31,1,1
295079,39,-1,-1
295111,31,1,1
295199,39,-1,-1
295219,19,-1,-1
295259,19,-1,-1
295271,31,1,1
295319,39,-1,-1
295439,39,-1,-1
295459,19,-1,-1
295699,19,-1,-1
295751,31,1,1
295759,39,-1,-1
295819,19,-1,-1
295831,31,1,1
295879,39,-1,-1
295951,31,1,1
296099,19,-1,-1
296159,39,-1,-1
296251,11,1,1
296279,39,-1,-1
296299,19,-1,-1
296519,39,-1,-1
296551,31,1,1
296579,19,-1,-1
296591,31,1,1
296651,11,1,1
296731,11,1,1
296771,11,1,1
296831,31,1,1
296911,31,1,1
296971,11,1,1
297019,19,-1,-1
297191,31,1,1
297251,11,1,1
297359,39,-1,-1
297371,11,1,1
297439,39,-1,-1
297659,19,-1,-1
297719,39,-1,-1
297779,19,-1,-1
297811,11,1,1
297911,31,1,1
297931,11,1,1
297971,11,1,1
298031,31,1,1
298099,19,-1,-1
298159,39,-1,-1
298171,11,1,1
298211,11,1,1
298399,39,-1,-1
298451,11,1,1
298559,39,-1,-1
298631,31,1,1
298651,11,1,1
298679,39,-1,-1
298691,11,1,1
298799,39,-1,-1
299011,11,1,1
299099,19,-1,-1
299171,11,1,1
299179,19,-1,-1
299419,19,-1,-1
299471,31,1,1
299539,19,-1,-1
299699,19,-1,-1
299711,31,1,1
299731,11,1,1
299771,11,1,1
299951,31,1,1
300119,39,-1,-1
300239,39,-1,-1
300319,39,-1,-1
300431,31,1,1
300491,11,1,1
300499,19,-1,-1
300511,31,1,1
300631,31,1,1
300719,39,-1,-1
300779,19,-1,-1
300851,11,1,1
301039,39,-1,-1
301051,11,1,1
301079,39,-1,-1
301211,11,1,1
301219,19,-1,-1
301319,39,-1,-1
301459,19,-1,-1
301591,31,1,1
301619,19,-1,-1
301711,31,1,1
301751,31,1,1
301759,39,-1,-1
301831,31,1,1
301979,19,-1,-1
301991,31,1,1
301999,39,-1,-1
302111,31,1,1
302171,11,1,1
302191,31,1,1
302279,39,-1,-1
302299,19,-1,-1
302399,39,-1,-1
302411,11,1,1
302459,19,-1,-1
302579,19,-1,-1
302759,39,-1,-1
302779,19,-1,-1
302831,31,1,1
302851,11,1,1
302999,39,-1,-1
303019,19,-1,-1
303091,11,1,1
303119,39,-1,-1
303139,19,-1,-1
303299,19,-1,-1
303371,11,1,1
303379,19,-1,-1
303491,11,1,1
303539,19,-1,-1
303551,31,1,1
303619,19,-1,-1
303731,11,1,1
303839,39,-1,-1
303859,19,-1,-1
303871,31,1,1
303959,39,-1,-1
304039,39,-1,-1
304091,11,1,1
304099,19,-1,-1
304211,11,1,1
304259,19,-1,-1
304279,39,-1,-1
304331,11,1,1
304391,31,1,1
304411,11,1,1
304439,39,-1,-1
304511,31,1,1
304559,39,-1,-1
304631,31,1,1
304651,11,1,1
304739,19,-1,-1
304831,31,1,1
304979,19,-1,-1
305111,31,1,1
305119,39,-1,-1
305131,11,1,1
305219,19,-1,-1
305231,31,1,1
305339,19,-1,-1
305351,31,1,1
305411,11,1,1
305479,39,-1,-1
305639,39,-1,-1
305719,39,-1,-1
305759,39,-1,-1
305771,11,1,1
305971,11,1,1
306091,11,1,1
306191,31,1,1
306239,39,-1,-1
306331,11,1,1
306359,39,-1,-1
306419,19,-1,-1
306431,31,1,1
306479,39,-1,-1
306739,19,-1,-1
306899,19,-1,-1
307019,19,-1,-1
307031,31,1,1
307079,39,-1,-1
307091,11,1,1
307171,11,1,1
307399,39,-1,-1
307451,11,1,1
307471,31,1,1
307511,31,1,1
307631,31,1,1
307639,39,-1,-1
307691,11,1,1
307711,31,1,1
307831,31,1,1
307859,19,-1,-1
307871,31,1,1
307891,11,1,1
307919,39,-1,-1
307939,19,-1,-1
308051,11,1,1
308219,19,-1,-1
308291,11,1,1
308359,39,-1,-1
308411,11,1,1
308519,39,-1,-1
308551,31,1,1
308639,39,-1,-1
308851,11,1,1
308939,19,-1,-1
308951,31,1,1
308999,39,-1,-1
309059,19,-1,-1
309079,39,-1,-1
309091,11,1,1
309131,11,1,1
309259,19,-1,-1
309311,31,1,1
309359,39,-1,-1
309371,11,1,1
309479,39,-1,-1
309539,19,-1,-1
309571,11,1,1
309599,39,-1,-1
309779,19,-1,-1
309851,11,1,1
309899,19,-1,-1
309931,11,1,1
310019,19,-1,-1
310091,11,1,1
310379,19,-1,-1
310439,39,-1,-1
310459,19,-1,-1
310511,31,1,1
310559,39,-1,-1
310591,31,1,1
310711,31,1,1
310771,11,1,1
310819,19,-1,-1
310831,31,1,1
310931,11,1,1
311099,19,-1,-1
311111,31,1,1
311279,39,-1,-1
311291,11,1,1
311359,39,-1,-1
311371,11,1,1
311419,19,-1,-1
311659,19,-1,-1
311951,31,1,1
312031,31,1,1
312071,31,1,1
312211,11,1,1
312311,31,1,1
312331,11,1,1
312371,11,1,1
312551,31,1,1
312619,19,-1,-1
312679,39,-1,-1
312779,19,-1,-1
312799,39,-1,-1
312839,39,-1,-1
312899,19,-1,-1
313031,31,1,1
313151,31,1,1
313211,11,1,1
313219,19,-1,-1
313351,31,1,1
313471,31,1,1
313571,11,1,1
313619,19,-1,-1
313639,39,-1,-1
313679,39,-1,-1
313699,19,-1,-1
313739,19,-1,-1
313879,39,-1,-1
313931,11,1,1
313979,19,-1,-1
313991,31,1,1
314059,19,-1,-1
314159,39,-1,-1
314219,19,-1,-1
314339,19,-1,-1
314351,31,1,1
314359,39,-1,-1
314399,39,-1,-1
314491,11,1,1
314591,31,1,1
314711,31,1,1
314719,39,-1,-1
314771,11,1,1
314779,19,-1,-1
314879,39,-1,-1
315011,11,1,1
315059,19,-1,-1
315179,19,-1,-1
315251,11,1,1
315551,31,1,1
315599,39,-1,-1
315631,31,1,1
315671,31,1,1
315779,19,-1,-1
315851,11,1,1
315899,19,-1,-1
316051,11,1,1
316139,19,-1,-1
316219,19,-1,-1
316259,19,-1,-1
316271,31,1,1
316291,11,1,1
316339,19,-1,-1
316391,31,1,1
316439,39,-1,-1
316499,19,-1,-1
316531,11,1,1
316571,11,1,1
316691,11,1,1
316819,19,-1,-1
316859,19,-1,-1
316879,39,-1,-1
316919,39,-1,-1
316951,31,1,1
317071,31,1,1
317159,39,-1,-1
317179,19,-1,-1
317279,39,-1,-1
317371,11,1,1
317399,39,-1,-1
317411,11,1,1
317419,19,-1,-1
317459,19,-1,-1
317491,11,1,1
317539,19,-1,-1
317651,11,1,1
317731,11,1,1
317771,11,1,1
317831,31,1,1
317959,39,-1,-1
317971,11,1,1
318179,19,-1,-1
318191,31,1,1
318211,11,1,1
318271,31,1,1
318299,19,-1,-1
318419,19,-1,-1
318431,31,1,1
318559,39,-1,-1
318671,31,1,1
318679,39,-1,-1
318691,11,1,1
318811,11,1,1
318911,31,1,1
318919,39,-1,-1
318979,19,-1,-1
319159,39,-1,-1
319211,11,1,1
319259,19,-1,-1
319279,39,-1,-1
319339,19,-1,-1
319391,31,1,1
319399,39,-1,-1
319411,11,1,1
319439,39,-1,-1
319499,19,-1,-1
319511,31,1,1
319519,39,-1,-1
319591,31,1,1
319679,39,-1,-1
319691,11,1,1
319699,19,-1,-1
319811,11,1,1
319919,39,-1,-1
320039,39,-1,-1
320219,19,-1,-1
320291,11,1,1
320339,19,-1,-1
320471,31,1,1
320539,19,-1,-1
320591,31,1,1
320659,19,-1,-1
320699,19,-1,-1
320759,39,-1,-1
320791,31,1,1
320839,39,-1,-1
320851,11,1,1
320939,19,-1,-1
321239,39,-1,-1
321311,31,1,1
321331,11,1,1
321359,39,-1,-1
321619,19,-1,-1
321631,31,1,1
321751,31,1,1
321779,19,-1,-1
321851,11,1,1
321911,31,1,1
321991,31,1,1
322051,11,1,1
322079,39,-1,-1
322139,19,-1,-1
322171,11,1,1
322271,31,1,1
322319,39,-1,-1
322339,19,-1,-1
322351,31,1,1
322571,11,1,1
322591,31,1,1
322631,31,1,1
322859,19,-1,-1
322919,39,-1,-1
322939,19,-1,-1
322951,31,1,1
322999,39,-1,-1
323131,11,1,1
323339,19,-1,-1
323359,39,-1,-1
323371,11,1,1
323471,31,1,1
323579,19,-1,-1
323591,31,1,1
323651,11,1,1
323699,19,-1,-1
323711,31,1,1
323759,39,-1,-1
323819,19,-1,-1
323879,39,-1,-1
323899,19,-1,-1
323951,31,1,1
324011,11,1,1
324031,31,1,1
324119,39,-1,-1
324179,19,-1,-1
324211,11,1,1
324239,39,-1,-1
324319,39,-1,-1
324419,19,-1,-1
324431,31,1,1
324439,39,-1,-1
324491,11,1,1
324791,31,1,1
324799,39,-1,-1
324839,39,-1,-1
324871,31,1,1
324931,11,1,1
324979,19,-1,-1
325019,19,-1,-1
325079,39,-1,-1
325219,19,-1,-1
325231,31,1,1
325271,31,1,1
325319,39,-1,-1
325379,19,-1,-1
325439,39,-1,-1
325459,19,-1,-1
325571,11,1,1
325631,31,1,1
325691,11,1,1
325751,31,1,1
325939,19,-1,-1
325951,31,1,1
326099,19,-1,-1
326119,39,-1,-1
326159,39,-1,-1
326171,11,1,1
326219,19,-1,-1
326351,31,1,1
326479,39,-1,-1
326539,19,-1,-1
326611,11,1,1
326659,19,-1,-1
326831,31,1,1
326939,19,-1,-1
326951,31,1,1
326999,39,-1,-1
327011,11,1,1
327059,19,-1,-1
327079,39,-1,-1
327179,19,-1,-1
327211,11,1,1
327311,31,1,1
327331,11,1,1
327419,19,-1,-1
327479,39,-1,-1
327491,11,1,1
327559,39,-1,-1
327571,11,1,1
327599,39,-1,-1
327619,19,-1,-1
327739,19,-1,-1
327779,19,-1,-1
327839,39,-1,-1
327851,11,1,1
327871,31,1,1
328051,11,1,1
328171,11,1,1
328331,11,1,1
328379,19,-1,-1
328439,39,-1,-1
328511,31,1,1
328519,39,-1,-1
328579,19,-1,-1
328619,19,-1,-1
328639,39,-1,-1
328891,11,1,1
328919,39,-1,-1
329059,19,-1,-1
329299,19,-1,-1
329419,19,-1,-1
329519,39,-1,-1
329551,31,1,1
329591,31,1,1
329639,39,-1,-1
329671,31,1,1
329711,31,1,1
329779,19,-1,-1
329951,31,1,1
329999,39,-1,-1
330131,11,1,1
330139,19,-1,-1
330311,31,1,1
330331,11,1,1
330359,39,-1,-1
330431,31,1,1
330611,11,1,1
330719,39,-1,-1
330791,31,1,1
330839,39,-1,-1
330899,19,-1,-1
331031,31,1,1
331099,19,-1,-1
331159,39,-1,-1
331171,11,1,1
331259,19,-1,-1
331319,39,-1,-1
331391,31,1,1
331399,39,-1,-1
331451,11,1,1
331511,31,1,1
331519,39,-1,-1
331579,19,-1,-1
331691,11,1,1
