"Key","Type","Title","Year","Journal","URL"
"Vajda1989","book","{F}ibonacci and {L}ucas Numbers, and the Golden Section: Theory and Applications","1989","",""
"IrelandRosen1990","book","A Classical Introduction to Modern Number Theory","1990","",""
"BerndtEvansWilliams1998","book","{G}auss and {J}acobi Sums","1998","",""
"Lemmermeyer2000","book","Reciprocity Laws: From {E}uler to {E}isenstein","2000","",""
"Sun2019","article","New observations on primitive roots modulo primes","2019","Nanjing Univ. J. Math. Biquarterly","https://arxiv.org/abs/1405.0290"
"ShanksTaylor1973","article","An observation on {F}ibonacci primitive roots","1973","The Fibonacci Quarterly",""
"DeLeon1977","article","{F}ibonacci primitive roots and the period of the {F}ibonacci numbers modulo $p$","1977","The Fibonacci Quarterly",""
"Sander1990","article","On {F}ibonacci primitive roots","1990","The Fibonacci Quarterly",""
